"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CLTA",1.98883913722711e-38,0.615380239036925,0.333,0.139,6.43528679632575e-34
"SVIP",2.2381283842132e-38,0.498596171811586,0.521,0.253,7.24191201279867e-34
"CMTM6",2.25991849211133e-38,0.482815369274386,0.516,0.243,7.31241826492462e-34
"ANXA7",3.04832782207293e-38,0.639786673940335,0.306,0.123,9.86347433388138e-34
"LDLRAP1",4.00709089977894e-38,0.543698734904604,0.368,0.158,1.29657440244147e-33
"ABCC3",4.66065723536688e-38,0.475989402284889,0.404,0.178,1.50804886164766e-33
"PRDX6",4.83133328142421e-38,-0.299424392039974,0.773,0.669,1.56327450987043e-33
"ISCA1",5.71211403650931e-38,0.474961147994379,0.385,0.167,1.84826873879332e-33
"MEF2C",6.88477140240725e-38,0.7633484419856,0.252,0.092,2.22770548267691e-33
"UBL4A",7.15254774549014e-38,0.489985735689563,0.46,0.216,2.31434987400824e-33
"ATP5MPL",8.87828838665661e-38,0.516174055593158,0.434,0.2,2.87274777327048e-33
"PTP4A2",1.14987891953533e-37,0.506298227374357,0.71,0.37,3.72066321994048e-33
"SUPT4H1",1.46139235117785e-37,0.486062718980688,0.498,0.241,4.72862723070616e-33
"RTN3",1.74371763072578e-37,0.471724384993216,0.497,0.237,5.64214713773942e-33
"S100A4",1.88696296902575e-37,-1.27935685014784,0.225,0.34,6.10564607887662e-33
"ELOVL7",2.91168985486151e-37,0.515741290246288,0.353,0.15,9.42135486337539e-33
"RILPL2",4.53978418117384e-37,0.617605756857221,0.271,0.103,1.46893796750242e-32
"TSC22D1",6.92098280357024e-37,0.493789456505292,0.906,0.587,2.23942240575122e-32
"SPARC",8.39362522030143e-37,-0.335030493617253,0.762,0.667,2.71592531253293e-32
"TIMP1",9.11418093767524e-37,-0.296126121265767,0.8,0.694,2.94907552600358e-32
"PPP3R1",9.34353294920617e-37,0.526900991277661,0.366,0.16,3.02328695637464e-32
"MBP",1.01713522614149e-36,0.484656363753367,0.438,0.203,3.29114445122602e-32
"YPEL5",1.28651969658349e-36,0.493504761404661,0.531,0.263,4.16279178223518e-32
"CBX3",1.49520527415902e-36,0.73169792284965,0.268,0.104,4.83803570559635e-32
"TPST2",1.71108523124861e-36,0.482594967029009,0.585,0.291,5.53655848275113e-32
"ACTR3",1.89368730365481e-36,0.547680509716693,0.361,0.159,6.12740400843586e-32
"F2R",1.9770031263868e-36,0.572404311992733,0.304,0.123,6.39698901604977e-32
"S100A6",2.85836133380125e-36,-1.4647663374904,0.163,0.283,9.24879976778071e-32
"R3HDM4",2.9419872756731e-36,0.469536015353877,0.487,0.234,9.51938822789544e-32
"RTN4",3.26970598246918e-36,0.497781312437171,0.422,0.193,1.05797876474755e-31
"SLC40A1",3.68191782832736e-36,0.505629193482172,0.555,0.282,1.19135815171188e-31
"PCMTD1",4.03114522947935e-36,0.513074686434074,0.361,0.16,1.30435766190263e-31
"ARHGAP6",5.05110901664581e-36,0.472315144584754,0.564,0.28,1.63438734451609e-31
"ORAI2",5.24927092777225e-36,0.722068335792893,0.253,0.095,1.69850659409927e-31
"RPS16",5.97517151069175e-36,-1.32572201662478,0.193,0.311,1.93338624571453e-31
"HGD",6.56187927860571e-36,0.593195572227778,0.335,0.146,2.12322727817845e-31
"SERPINB6",1.1938530443498e-35,0.590376005225467,0.265,0.101,3.86295029560264e-31
"PTPN12",1.25219374775315e-35,0.481884051299664,0.472,0.225,4.05172330960487e-31
"YY1",1.38202817600855e-35,0.609604510231227,0.297,0.122,4.47182856911085e-31
"RPL26",1.55089268158511e-35,-1.16255427865276,0.272,0.375,5.01822344980495e-31
"GP1BA",1.57597354353857e-35,0.475031109247638,0.36,0.157,5.09937759482775e-31
"WASF2",1.77559426091071e-35,0.629207679538027,0.281,0.111,5.74529035002878e-31
"PTPRA",3.0535110583308e-35,0.649000839203783,0.263,0.102,9.88024573144096e-31
"S100A8",3.87157647904326e-35,-1.26978419786912,0.221,0.333,1.25272600132403e-30
"RPL7A",5.15282902961642e-35,-1.02930560093644,0.327,0.413,1.66730088911298e-30
"JAK1",5.25472452361631e-35,0.468006015086366,0.376,0.17,1.70027121410653e-30
"PPP1R14A",6.39528367792622e-35,0.498931029377121,0.42,0.199,2.06932193966659e-30
"ADD3",1.21067168338204e-34,0.576874526313283,0.288,0.117,3.91737036591928e-30
"NCK2",2.30584157181866e-34,0.487299212893852,0.674,0.351,7.46101157393364e-30
"CD226",4.01422568856406e-34,0.46052842666858,0.531,0.265,1.29888300604867e-29
"SLC35D2",4.47840463496422e-34,0.572517950196179,0.262,0.102,1.44907738773537e-29
"RBX1",4.70681074600581e-34,0.477919424329692,0.702,0.373,1.5229827530851e-29
"MARCH2",6.87426814521879e-34,-0.262418698579539,0.799,0.684,2.22430694374844e-29
"MPST",1.44132127494457e-33,0.539426789677241,0.284,0.117,4.66368324933814e-29
"EIF2AK1",1.80863423549998e-33,0.48801656594184,0.687,0.364,5.8521977958073e-29
"FAXDC2",1.9475017916094e-33,0.433554040735451,0.443,0.213,6.30153154711053e-29
"SRSF6",3.03290815640564e-33,0.577014971908698,0.282,0.118,9.81358092168174e-29
"PLA2G12A",4.46609886731204e-33,0.449143865013814,0.378,0.174,1.44509561049616e-28
"ALOX12",5.62472233123246e-33,0.488753082235384,0.335,0.149,1.81999140471689e-28
"CYB5R1",5.76350525772463e-33,0.527992048217817,0.293,0.123,1.86489739624196e-28
"SMIM3",7.43905298757788e-33,0.411953711112261,0.461,0.222,2.40705437519058e-28
"FCER1G",9.44789831120553e-33,-0.781285670174066,0.412,0.471,3.05705645655677e-28
"RPL24",2.38116460800039e-32,-1.34574248028457,0.195,0.302,7.70473432210687e-28
"SUMO2",2.38550675989835e-32,0.428959106913101,0.445,0.217,7.71878422300309e-28
"AC100810.1",3.03464204509944e-32,0.489389104168392,0.286,0.12,9.81919126532827e-28
"LYN",5.93450939503503e-32,0.489818056002528,0.302,0.131,1.92022920495148e-27
"RPA1",1.24846607563516e-31,0.429064017877094,0.398,0.19,4.03966168093268e-27
"AMD1",1.34252192015736e-31,0.450919905167574,0.519,0.266,4.34399817705316e-27
"NAP1L4",1.57546528277397e-31,0.538529709068051,0.277,0.116,5.09773301547175e-27
"SRSF8",1.729810237515e-31,0.449631809418557,0.333,0.15,5.5971469855273e-27
"ADIPOR1",2.36847579178467e-31,0.401574522803765,0.433,0.211,7.66367711947765e-27
"RDH11",3.32604011277182e-31,0.405386852690259,0.47,0.234,1.07620679928958e-26
"RPL9",3.62523984572773e-31,-1.12176682559724,0.275,0.366,1.17301885688212e-26
"RAB8A",4.62043961533882e-31,0.38447093036672,0.496,0.247,1.49503564633518e-26
"RPS15",7.42422153043141e-31,-0.920282491058566,0.379,0.436,2.40225536060169e-26
"RPL5",1.13962347104825e-30,-1.11779862352884,0.253,0.35,3.68747966527083e-26
"RPL37A",1.14987643475864e-30,-1.22079434296971,0.226,0.327,3.72065517994854e-26
"MICU1",1.16447339866907e-30,0.522718644681852,0.285,0.124,3.76788657607352e-26
"TMOD3",1.82287893329577e-30,0.407733970750312,0.484,0.244,5.89828936446511e-26
"RPL10A",2.73016422811312e-30,-1.41293850951336,0.16,0.266,8.83399239290562e-26
"LRBA",4.94274177558643e-30,0.478807472296007,0.275,0.117,1.5993229563265e-25
"RPL3",5.64729889961133e-30,-1.11764725236471,0.259,0.351,1.82729650494724e-25
"ITGB1",5.71973966947395e-30,-0.461870465210804,0.645,0.586,1.85073616485168e-25
"TMEM91",1.07192667935178e-29,0.374604418577152,0.456,0.228,3.46843315637857e-25
"RPL8",1.75618560319737e-29,-1.11637408620272,0.266,0.356,5.68248975626575e-25
"UXS1",4.88723954167383e-29,0.426161634883449,0.287,0.126,1.5813640984994e-24
"SUSD3",5.00636344291039e-29,0.426463974136879,0.265,0.112,1.61990901922252e-24
"RPL6",1.34729243615028e-28,-1.03872636144345,0.303,0.38,4.35943413565147e-24
"RPS5",1.35837608549733e-28,-1.41444383733234,0.161,0.263,4.39529749984371e-24
"H2AFZ",2.18826277877943e-28,0.407769516646793,0.324,0.151,7.08056187329659e-24
"RPL23A",5.89062731669102e-28,-1.2635608472233,0.185,0.285,1.90603028086171e-23
"STK4",9.59631507545711e-28,0.426949058535766,0.303,0.139,3.10507966896566e-23
"SYTL4",9.7532425435336e-28,0.446812818584893,0.274,0.122,3.15585668981117e-23
"PRKCB",1.27923357100509e-27,0.336754283014853,0.419,0.208,4.13921606570116e-23
"ARHGEF12",1.77966592647503e-27,0.50789997188706,0.25,0.108,5.75846503829527e-23
"UBE2E3",2.5738208662514e-27,0.334657196794616,0.458,0.234,8.32811217692964e-23
"RPS9",3.03402757051606e-27,-1.33269178955117,0.179,0.275,9.81720300991881e-23
"EEF1B2",3.32099326433083e-27,-1.39814150036927,0.152,0.251,1.07457379053953e-22
"CCDC85B",6.94361569544951e-27,0.380267839398306,0.553,0.293,2.2467457305766e-22
"CAPZA2",7.02640000948581e-27,0.40082528254778,0.681,0.37,2.27353225106932e-22
"MAP2K3",8.68443642396042e-27,0.488708767848312,0.254,0.112,2.81002309370087e-22
"AP1S2",1.29720759580524e-26,0.356196658541738,0.431,0.222,4.19737461774703e-22
"RPS19BP1",2.77620079360935e-26,0.423377993351938,0.258,0.114,8.98295290788177e-22
"CAPN1",5.53189803182477e-26,0.314431804508778,0.425,0.216,1.78995624615754e-21
"TST",8.54616966859965e-26,0.333460394901204,0.356,0.175,2.76528411966879e-21
"YPEL3",1.25359759674452e-25,0.381502117545969,0.34,0.168,4.05626574378625e-21
"MBNL1",1.32321277770489e-25,0.375971353726623,0.595,0.327,4.28151958481973e-21
"MYLK",1.47514555029453e-25,0.359267737600608,0.586,0.315,4.77312845708801e-21
"ORAI1",1.5558286918277e-25,0.337570045401271,0.296,0.138,5.03419489814688e-21
"YWHAE",1.92328380509695e-25,0.304697999352149,0.481,0.252,6.22316940815221e-21
"PDE5A",3.97916269097836e-25,0.335518762507677,0.501,0.265,1.28753767191987e-20
"HK1",4.49218393387854e-25,0.320776862798351,0.366,0.183,1.45353595548508e-20
"GTF3C6",5.42009551839118e-25,0.352869620676141,0.321,0.157,1.75378030688583e-20
"RPL13A",6.01686356940353e-25,-1.02227131238546,0.29,0.36,1.9468765451519e-20
"NDUFS5",6.50907174388107e-25,0.366939270032306,0.584,0.316,2.1061403441676e-20
"PECAM1",8.34000782246285e-25,0.319783579856467,0.308,0.148,2.6985763311143e-20
"SUB1",1.11069687131793e-24,0.363072252105374,0.314,0.153,3.59388186652343e-20
"UBA52",1.19126943651839e-24,-0.850975681419858,0.387,0.423,3.85459051574256e-20
"VTI1B",1.34901934732775e-24,0.366184825273508,0.262,0.121,4.36502190214839e-20
"EHD1",1.79036525212879e-24,0.403393901991218,0.255,0.116,5.79308484631314e-20
"DIAPH1",1.89949770542453e-24,0.294131483633535,0.39,0.198,6.14620472544214e-20
"ATF4",2.22159862602884e-24,0.339553083881518,0.323,0.16,7.18842667424153e-20
"RPS7",4.77137005215935e-24,-0.927044598101312,0.346,0.397,1.5438722077772e-19
"CTDSPL",1.02007676751384e-23,0.285069676362113,0.528,0.28,3.30066239664455e-19
"VAMP8",1.9761209336547e-23,0.367027113779301,0.268,0.127,6.3941345050265e-19
"RPL22",2.52631309533548e-23,-1.22980701658454,0.186,0.273,8.17439128257703e-19
"EMP3",3.22664410497613e-23,0.3115491716249,0.532,0.29,1.04404523304713e-18
"CLCN3",3.53749399398101e-23,0.294038634571266,0.438,0.231,1.14462693163243e-18
"P2RX1",4.59569843901226e-23,0.300244727460274,0.254,0.118,1.4870301439112e-18
"G3BP2",5.09291312113104e-23,0.274216043087204,0.333,0.167,1.64791389860437e-18
"MAGED2",1.07855986229649e-22,0.262683940062698,0.382,0.197,3.48989614643275e-18
"PRKAR1A",1.21120210124309e-22,0.317827800849326,0.279,0.136,3.91908663899228e-18
"LTBP1",1.50597480088939e-22,0.32970414988836,0.28,0.136,4.87288266323779e-18
"UBXN11",1.56614719672004e-22,0.356619957484823,0.269,0.129,5.06758248442704e-18
"ARHGAP45",1.62564890186353e-22,0.297181123872637,0.257,0.121,5.26011215175981e-18
"WBP2",2.25000934756036e-22,0.265476334301487,0.508,0.275,7.28035524590104e-18
"YWHAQ",2.37380248541348e-22,0.281624586132023,0.375,0.196,7.68091270205239e-18
"RAB4A",3.29063456449566e-22,0.279946609979654,0.415,0.223,1.06475062603386e-17
"PDZK1IP1",3.69277634875032e-22,0.292724621731418,0.508,0.283,1.19487164316514e-17
"ZCCHC17",3.95653077242587e-22,0.252209909100349,0.377,0.196,1.28021466203384e-17
"RPL36",5.51325987709119e-22,-1.06782317944363,0.235,0.312,1.7839254984304e-17
"LRRFIP1",7.74663113598098e-22,0.344467738811713,0.282,0.141,2.50657743666937e-17
"CIRBP",9.70262474579944e-22,0.292752034473963,0.314,0.161,3.13947828899833e-17
"PCMT1",1.05468341045511e-21,0.295568924147518,0.27,0.131,3.4126391112096e-17
"RPSA",1.29481802739679e-21,-1.27139846100313,0.171,0.253,4.18964269124778e-17
"AL731557.1",3.38028228782869e-21,0.290688773986953,0.302,0.153,1.09375793987273e-16
"CD9",3.5287743457571e-21,-0.384791821004899,0.631,0.564,1.14180551505663e-16
"FLNA",3.73692664769236e-21,-0.539046467696328,0.524,0.5,1.20915735539382e-16
"ARPC2",5.01271406528705e-21,0.295919243905312,0.578,0.321,1.62196389010493e-16
"RPL38",9.55526039974323e-21,-1.24466204112835,0.178,0.258,3.09179560754492e-16
"DMTN",1.17188016254882e-20,0.26665441608522,0.473,0.258,3.79185264195923e-16
"DAPP1",2.04792597319906e-20,0.366439844254296,0.731,0.423,6.62647407148019e-16
"CA2",8.45665009355669e-20,0.329764023548258,0.668,0.388,2.73631827077214e-15
"RPS26",7.7770085089662e-19,-0.932227007014684,0.299,0.351,2.51640664324619e-14
"FXYD5",1.04590389534817e-18,0.253200366896577,0.528,0.3,3.38423123417808e-14
"RAB31",1.73308964408993e-18,0.288291246606904,0.268,0.14,5.60775816138177e-14
"C2orf88",7.02919803150137e-18,0.387699447763351,0.815,0.502,2.2744376070529e-13
"GMPR",1.31328086232601e-17,0.28548468797162,0.621,0.359,4.24938288622828e-13
"RPL35A",1.52081354694031e-17,-0.374570483736557,0.648,0.553,4.92089639383477e-13
"AP003068.2",2.23993694728954e-16,0.305331373324425,0.678,0.403,7.24776398034478e-12
"TRAPPC1",6.16383730392019e-15,-0.495525613876006,0.529,0.486,1.99443283642946e-10
"RPL27A",6.2609788178224e-15,-1.07140863367474,0.214,0.272,2.02586491608279e-10
"RNF11",9.68326676723517e-15,-0.410576765544942,0.602,0.52,3.13321462787428e-10
"ARHGAP18",6.98043141628426e-14,0.297597805108333,0.715,0.423,2.2586581933671e-09
"FKBP1A",3.29991595001932e-13,-0.346843966722643,0.638,0.538,1.06775380394775e-08
"UBB",5.2769130947216e-13,-0.503411993937134,0.53,0.477,1.70745077005907e-08
"RPS11",2.49497299834913e-12,-0.851657202317559,0.303,0.33,8.07298413075827e-08
"NACA",9.21639240145707e-11,-0.758395178347092,0.327,0.343,2.98214808933946e-06
"TUBA1B",1.59415377807457e-10,-0.480387299078515,0.525,0.461,5.15820337971589e-06
"MMD",3.39350655124861e-10,0.298169455335496,0.821,0.526,1.09803691478751e-05
"NDUFAF3",6.77729366653582e-10,-0.574214769151538,0.452,0.417,2.192928911681e-05
"FAU",6.92178377134545e-10,-0.496372698269176,0.514,0.452,2.23968157489425e-05
"YBX1",2.01813053744478e-09,-0.653251068538764,0.392,0.379,6.53006498001008e-05
"MPP1",2.37750260571832e-08,0.312594403417039,0.869,0.573,0.000769288518132276
"PARVB",2.51293954058221e-08,-0.444615665054025,0.475,0.431,0.000813111847146186
"ACRBP",1.61099511404515e-07,0.306544492979553,0.929,0.655,0.00521269689051589
"MT-ND5",1.65730772325372e-07,-0.41801312193454,0.523,0.453,0.00536255060013205
"SNCA",2.97855096237193e-07,-0.302924169791297,0.612,0.498,0.00963769734894685
"C9orf16",1.89396916266747e-06,-0.293516375821673,0.623,0.502,0.0612831601964314
"ITGA2B",2.5141603452135e-06,-0.330481091606227,0.593,0.48,0.0813506862900732
"RPS20",4.42635360359647e-06,-0.809152113578579,0.244,0.26,0.143223523551571
"MYH9",9.42756054173851e-06,-0.304042273777918,0.587,0.479,0.305047576449033
"COTL1",4.14844066312465e-05,-0.380269462759091,0.516,0.433,1
"RACK1",0.000286503665069901,-0.764758637762129,0.256,0.257,1
"RPL15",0.000660441950960095,-0.324110522220956,0.541,0.44,1
"JAM3",0.00151938687956313,-0.293932089905739,0.25,0.18,1
"CALD1",0.00234394118623622,-0.302015521637353,0.297,0.212,1
"SARAF",0.00326931023492999,-0.296291709755632,0.291,0.211,1
"PABPC1",0.003581845293876,-0.407501505974718,0.473,0.391,1
"CAPNS1",0.00391247419370199,-0.262399195414143,0.298,0.215,1
"HDGF",0.0039976037418421,-0.322951358207538,0.266,0.194,1
"SSR4",0.0111195175503878,-0.292583777737804,0.53,0.426,1
"UQCR11",0.0111299542457273,-0.486798826743103,0.383,0.333,1
"CXCL5",0.0125417882611222,-0.273347078471862,0.322,0.237,1
"MMP24OS",0.0149290974123946,-0.342614207288342,0.252,0.189,1
"GPSM3",0.0153070819360221,-0.276667225196863,0.34,0.25,1
"PPIA",0.0189040940300033,-0.552898659381584,0.335,0.3,1
"FHL1",0.0298756015410474,-0.27153225533947,0.36,0.265,1
"PSAP",0.0310138268906548,-0.575030492736942,0.303,0.275,1
"CD151",0.0533717864528259,-0.437958452733348,0.398,0.334,1
"STMP1",0.0590966707528079,-0.376186837221901,0.435,0.362,1
"MT-ND4L",0.0844836341003469,-0.347968673802934,0.253,0.199,1
"ABHD17A",0.0976591325340976,-0.39694053630393,0.298,0.227,1
"AP001189.1",0.133285200909326,-0.264991075062981,0.541,0.419,1
"TAF10",0.173236433046599,-0.327902259279824,0.368,0.279,1
"UCP2",0.252903382420473,-0.379954473402323,0.268,0.216,1
"TMA7",0.261209082021189,-0.389075098881154,0.395,0.328,1
"COX4I1",0.278074084705567,-0.376174478500786,0.325,0.254,1
"C12orf75",0.417110067579679,-0.403785746727192,0.371,0.308,1
"PRDX5",0.484226956748034,-0.320175198524857,0.374,0.291,1
"SKP1",0.551091207419681,-0.366848024213164,0.406,0.326,1
"DBNL",0.6146227429149,-0.443710872833501,0.299,0.241,1
"ADI1",0.735474652975091,-0.47622837970346,0.309,0.259,1
"C4orf3",0.861019809780683,-0.483379014321129,0.28,0.238,1
"CYB5R3",0.875050464900345,-0.431102023481353,0.332,0.272,1
"SEPT2",0.92660999472186,-0.532567358467523,0.256,0.219,1
